bookid,authid
1,65204
2,81486
3,12669
4,34305
5,25095
6,3376
7,83092
8,88505
9,20061
10,4409
11,19810
12,846
13,89187
14,79355
15,41482
16,60438
17,83458
18,52443
19,48989
20,96560
21,94739
22,14147
23,40738
24,66888
25,84671
26,54307
27,81326
28,68517
29,62380
30,11976
31,628
32,90794
33,70969
34,26718
35,15027
36,82071
37,65269
38,36746
39,56815
40,7529
41,47107
42,43587
43,23311
44,5217
45,21537
46,66435
47,21522
48,75175
49,40905
50,62648
51,57462
52,95719
53,41270
54,62108
55,83956
56,36400
57,65051
58,73684
59,16368
60,20485
61,57252
62,87078
63,87078
64,69611
65,12574
66,1911
67,5269
68,3376
69,51004
70,21999
71,95205
72,14711
73,97523
74,8436
75,56815
76,72586
77,35868
78,82839
79,74470
80,4839
81,62394
82,87724
83,74332
84,70035
85,90747
86,88134
87,18893
88,23688
89,18409
90,60760
91,40906
92,40740
93,40740
94,40740
95,48319
96,66435
97,45786
98,43728
99,69258
100,89962
101,100033
102,84179
103,55197
104,48802
105,83319
106,56924
107,74606
108,70588
109,39839
110,68877
111,34560
112,72265
113,20858
114,87648
115,42997
116,87648
117,92146
118,39249
119,18765
120,47841
121,4370
122,4641
123,56866
124,76462
125,59067
126,14564
127,91195
128,8333
129,9509
130,96171
131,18359
132,85966
133,7600
134,32064
135,80857
136,96649
137,66435
138,83563
139,79879
140,39228
141,69001
142,82361
143,73510
144,60462
145,5025
146,54814
147,90331
148,50866
149,19436
150,72192
151,72812
152,57594
153,56912
154,92584
155,7744
156,89632
157,43782
158,83563
159,9192
160,17902
161,92001
162,19874
163,24525
164,66561
165,99954
166,73871
167,37466
168,43587
169,31099
170,31099
171,31099
172,59208
173,38606
174,35911
175,78806
176,79611
177,88291
178,80479
179,80614
180,80479
181,80479
182,80479
183,80479
184,80479
185,80479
186,80479
187,80479
188,74807
189,32064
190,29807
191,5928
192,55875
193,92283
194,81036
195,69096
196,50560
197,46113
198,46113
199,42725
200,47590
201,92283
202,70233
203,6523
204,84065
205,42997
206,42997
207,82071
208,68517
209,82071
210,60562
211,6342
212,53207
213,75188
214,75188
215,13003
216,54310
217,54310
218,8244
219,41270
220,48989
221,62269
222,48989
223,570
224,28659
225,27034
226,42997
227,72716
228,41308
229,56919
230,91195
231,91685
232,96828
233,51993
234,69171
235,30555
236,73469
237,75175
238,18765
239,30949
240,18765
241,62839
242,63958
243,5195
244,485
245,41482
246,35361
247,101519
248,86507
249,1244
250,18541
251,41482
252,49557
253,4370
254,94559
255,94559
256,94559
257,25002
258,40619
259,66676
260,94559
261,94559
262,94559
263,94559
264,60944
265,43587
266,55407
267,8589
268,14922
269,26186
270,33645
271,73722
272,94162
273,79691
274,74470
275,74470
276,74470
277,92283
278,80479
279,23989
280,301
281,94017
282,86971
283,40050
284,60826
285,43587
286,33435
287,14421
288,40019
289,7529
290,27620
291,14421
292,421
293,51087
294,48920
295,28258
296,28258
297,72360
298,1536
299,72360
300,1536
301,72360
302,97047
303,96485
304,10498
305,38624
306,48989
307,76748
308,95205
309,88619
310,53357
311,66173
312,19953
313,93577
314,76511
315,61515
316,91250
317,40074
318,74578
319,61380
320,10842
321,48635
322,65937
323,18406
324,76382
325,20283
326,19612
327,49772
328,94821
329,30941
330,66471
331,66867
332,40053
333,84301
334,82925
335,82610
336,75175
337,24525
338,247
339,88178
340,5023
341,7946
342,35254
343,96171
344,3592
345,72519
346,75821
347,91195
348,63662
349,25325
350,71197
351,49160
352,34753
353,36750
354,56937
355,4609
356,82689
357,92249
358,10143
359,18765
360,17203
361,47623
362,48989
363,95069
364,48989
365,68813
366,43884
367,23026
368,23026
369,73347
370,24525
371,44885
372,99251
373,7358
374,74211
375,6488
376,7358
377,16253
378,81198
379,47213
380,97631
381,99380
382,67504
383,57969
384,7968
385,10119
386,31481
387,72288
388,100941
389,-5706
390,81420
391,55827
392,69671
393,88524
394,19821
395,82326
396,8632
397,74965
398,100933
399,67962
400,15267
401,59049
402,66435
403,65327
404,80857
405,23288
406,88619
407,59475
408,30202
409,2504
410,90355
411,95209
412,25335
413,63455
414,24258
415,63455
416,62351
417,25812
418,66200
419,48908
420,85082
421,50338
422,42896
423,27551
424,9397
425,23514
426,61312
427,29181
428,95214
429,97872
430,98592
431,26786
432,73761
433,73761
434,5750
435,61874
436,44471
437,71330
438,30026
439,47210
440,12806
441,62648
442,30026
443,64012
444,76224
445,58536
446,89976
447,82804
448,38682
449,63146
450,90900
451,87663
452,78806
453,78806
454,5155
455,20315
456,57599
457,48989
458,63763
459,72580
460,76565
461,81361
462,13584
463,27612
464,12377
465,87391
466,4839
467,14421
468,23991
469,66867
470,71448
471,5155
472,84301
473,97511
474,61030
475,2504
476,93577
477,27643
478,41280
479,93803
480,82176
481,63455
482,51425
483,582
484,22826
485,18456
486,99034
487,933
488,7376
489,18548
490,41288
491,94
492,73871
493,28069
494,37148
495,51069
496,41342
497,60577
498,95719
499,444
500,51321
501,94173
502,30667
503,91195
504,51652
505,89785
506,16207
507,66435
508,83703
509,95662
510,41225
511,27864
512,27864
513,61583
514,49323
515,26534
516,95613
517,7529
518,7529
519,98167
520,40019
521,96649
522,27219
523,4331
524,57679
525,33805
526,59208
527,75190
528,62648
529,65615
530,37937
531,88129
532,100169
533,5671
534,25812
535,36921
536,70229
537,93172
538,18081
539,63587
540,84418
541,1206
542,28187
543,74163
544,26788
545,76162
546,64989
547,91172
548,57229
549,21185
550,2239
551,76616
552,20674
553,9721
554,919
555,45678
556,75190
557,13807
558,23340
559,16981
560,66435
561,49678
562,12529
563,50647
564,101519
565,30526
566,41388
567,94097
568,45919
569,19361
570,58563
571,86263
572,87589
573,10491
574,10182
575,73347
576,53570
577,28181
578,21537
579,29821
580,41982
581,73347
582,41118
583,18497
584,12343
585,73347
586,53233
587,69046
588,2895
589,48989
590,48989
591,99833
592,70173
593,48989
594,69357
595,49918
596,93739
597,93739
598,66435
599,94144
600,4164
601,94144
602,11866
603,11866
604,100301
605,84466
606,4641
607,25119
608,59473
609,599
610,5215
611,52092
612,64446
613,99505
614,6107
615,52661
616,77899
617,41434
618,19361
619,7728
620,59917
621,86926
622,54814
623,66435
624,17043
625,88817
626,46384
627,52929
628,74382
629,9260
630,53018
631,43929
632,23189
633,66075
634,17642
635,35840
636,10187
637,68085
638,68085
639,24305
640,71118
641,68085
642,16102
643,12068
644,52467
645,52467
646,29739
647,57457
648,30949
649,56899
650,9260
651,34047
652,52467
653,74470
654,74470
655,74470
656,61674
657,89079
658,89079
659,24305
660,28546
661,93138
662,32164
663,32164
664,29649
665,92467
666,18439
667,62648
668,52037
669,80479
670,44015
671,93464
672,39566
673,82071
674,29965
675,29965
676,8977
677,11349
678,42997
679,88003
680,2436
681,59989
682,90369
683,39381
684,20231
685,81437
686,54711
687,42311
688,9865
689,87962
690,14896
691,27077
692,90624
693,37971
694,21324
695,99321
696,65580
697,22534
698,56373
699,41607
700,65753
701,72589
702,34101
703,76300
704,28812
705,67999
706,2595
707,9720
708,67922
709,81031
710,70951
711,94187
712,92966
713,35709
714,26956
715,6673
716,4370
717,95673
718,65269
719,14215
